"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.17"
"[Data Information]"
"Data is:","Original"
"Sample Name:","Quinine431"
"Sample ID:","Quinine431"
"Option:","Option431"
"Analyst:","Goux"
"Date/Time:","09/25/2023 03:03:03 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-5301 PC"
"Instrument Type:","RF-5300 Series"
"Model (S/N):","RF-5301PC (A40194201665SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","400.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","1.0 nm"
"Scan Speed:","Fast"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"Response:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"Quinine_431 - RawData"
"Wavelength nm.","Intensity"
400,10.679
401,11.211
402,11.640
403,12.451
404,12.928
405,13.947
406,14.341
407,15.770
408,16.696
409,17.928
410,19.040
411,20.585
412,21.606
413,22.766
414,23.977
415,25.440
416,26.822
417,27.886
418,29.446
419,30.550
420,31.720
421,33.554
422,34.323
423,35.948
424,37.219
425,38.578
426,39.781
427,40.683
428,41.771
429,43.621
430,44.131
431,44.340
432,46.352
433,46.622
434,47.741
435,48.452
436,49.359
437,50.768
438,51.158
439,51.230
440,52.081
441,52.624
442,53.496
443,52.832
444,53.961
445,54.149
446,53.456
447,54.023
448,53.982
449,53.859
450,53.705
451,53.899
452,52.836
453,53.217
454,52.449
455,52.637
456,51.711
457,51.384
458,50.941
459,50.568
460,50.120
461,49.325
462,48.458
463,48.110
464,47.525
465,46.489
466,45.656
467,45.565
468,44.858
469,44.029
470,43.732
471,42.726
472,41.770
473,40.788
474,40.448
475,39.306
476,38.670
477,37.782
478,37.516
479,35.887
480,35.690
481,34.746
482,33.589
483,32.994
484,32.381
485,31.387
486,30.233
487,29.876
488,29.580
489,28.096
490,27.375
491,26.481
492,26.011
493,25.477
494,24.515
495,23.892
496,23.391
497,22.864
498,21.988
499,21.529
500,20.993
501,20.284
502,19.210
503,19.109
504,18.313
505,17.934
506,16.718
507,16.428
508,16.104
509,15.327
510,14.920
511,14.185
512,14.443
513,13.535
514,13.443
515,12.903
516,12.327
517,12.235
518,11.466
519,11.354
520,10.678
521,10.195
522,10.199
523,9.668
524,9.439
525,8.898
526,8.627
527,8.400
528,8.342
529,7.653
530,7.596
531,7.229
532,7.140
533,6.911
534,6.641
535,6.414
536,6.206
537,5.872
538,5.650
539,5.339
540,5.242
541,5.121
542,5.093
543,4.729
544,4.717
545,4.373
546,4.320
547,4.223
548,3.928
549,3.859
550,3.657
551,3.511
552,3.368
553,3.310
554,3.252
555,2.965
556,3.046
557,2.865
558,2.625
559,2.662
560,2.501
561,2.389
562,2.399
563,2.501
564,2.120
565,2.114
566,1.974
567,1.665
568,1.794
569,1.574
570,1.588
571,1.436
572,1.372
573,1.329
574,1.261
575,1.266
576,1.081
577,0.935
578,0.959
579,0.923
580,0.886
581,0.900
582,0.912
583,0.796
584,0.687
585,0.768
586,0.712
587,0.629
588,0.583
589,0.642
590,0.440
591,0.532
592,0.535
593,0.604
594,0.414
595,0.352
596,0.316
597,0.417
598,0.422
599,0.206
600,0.255
