"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.17"
"[Data Information]"
"Data is:","Original"
"Sample Name:","Quinine429"
"Sample ID:","Quinine429"
"Option:","Option429"
"Analyst:","Goux"
"Date/Time:","09/25/2023 02:58:22 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-5301 PC"
"Instrument Type:","RF-5300 Series"
"Model (S/N):","RF-5301PC (A40194201665SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Excitation"
"EX Wavelength Start:","220.0 nm"
"EX Wavelength End:","400.0 nm"
"EM Wavelength:","500.0 nm"
"Data Interval:","1.0 nm"
"Scan Speed:","Fast"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"Response:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"Quinine_429 - RawData"
"Wavelength nm.","Intensity"
220,0.372
221,0.317
222,0.405
223,0.393
224,0.426
225,0.330
226,0.588
227,0.525
228,0.722
229,0.661
230,0.725
231,0.808
232,0.951
233,0.994
234,0.971
235,1.197
236,1.169
237,1.659
238,1.615
239,1.738
240,2.247
241,2.329
242,2.930
243,3.158
244,3.729
245,4.298
246,4.792
247,5.837
248,6.458
249,7.265
250,7.089
251,6.862
252,6.372
253,6.395
254,6.169
255,5.658
256,5.276
257,4.355
258,3.603
259,2.978
260,2.237
261,1.745
262,1.405
263,1.170
264,0.909
265,0.725
266,0.707
267,0.569
268,0.648
269,0.792
270,0.642
271,0.552
272,0.760
273,0.767
274,0.849
275,0.952
276,1.034
277,0.996
278,1.041
279,1.511
280,1.448
281,1.497
282,1.380
283,1.565
284,1.724
285,1.802
286,2.165
287,2.290
288,2.449
289,2.699
290,2.765
291,3.082
292,3.286
293,3.600
294,3.750
295,3.830
296,4.248
297,4.368
298,4.690
299,5.196
300,5.438
301,5.614
302,6.114
303,6.653
304,6.822
305,6.830
306,7.470
307,8.022
308,8.201
309,8.453
310,9.149
311,9.202
312,9.605
313,10.529
314,10.365
315,10.685
316,10.738
317,11.087
318,11.334
319,11.131
320,10.897
321,11.499
322,11.537
323,11.514
324,11.568
325,11.645
326,11.971
327,12.105
328,12.557
329,12.684
330,13.338
331,13.680
332,14.339
333,15.000
334,14.943
335,15.721
336,16.455
337,16.482
338,17.543
339,17.481
340,18.067
341,18.082
342,18.895
343,19.148
344,19.623
345,19.795
346,20.056
347,20.367
348,20.390
349,20.530
350,20.325
351,20.704
352,20.530
353,20.606
354,19.878
355,20.005
356,19.854
357,19.307
358,18.942
359,18.334
360,18.441
361,17.813
362,16.986
363,16.218
364,15.368
365,15.381
366,14.505
367,13.652
368,13.069
369,12.428
370,11.244
371,10.908
372,10.151
373,9.703
374,8.909
375,8.024
376,7.666
377,6.781
378,6.772
379,6.046
380,5.553
381,4.824
382,4.453
383,4.045
384,3.503
385,3.092
386,2.971
387,2.437
388,2.385
389,1.952
390,1.741
391,1.764
392,1.353
393,1.284
394,1.061
395,0.966
396,0.858
397,0.663
398,0.618
399,0.713
400,0.476
